,name,date,rate_of_ret,rate_of_ret_accumulate
0,浦发银行,2016-05,0.019175455417066223,0.019175455417066223
1,浦发银行,2016-06,-0.035747883349012355,-0.01725790987535958
2,浦发银行,2016-07,0.007804878048780495,-0.009587727708533111
3,浦发银行,2016-08,0.0503388189738625,0.04026845637583887
4,浦发银行,2016-09,0.0,0.04026845637583887
5,浦发银行,2016-10,-0.012903225806451535,0.02684563758389258
6,浦发银行,2016-11,0.05415499533146573,0.08245445829338416
7,浦发银行,2016-12,-0.05491585473870675,0.023010546500479068
8,浦发银行,2017-01,0.03280224929709452,0.05656759348034468
9,浦发银行,2017-02,-0.00907441016333932,0.04697986577181168
10,浦发银行,2017-03,-0.0347985347985349,0.010546500479385879
11,浦发银行,2017-04,-0.050284629981024564,-0.04026845637583931
12,浦发银行,2017-05,0.1108891108891108,0.06615532118887768
13,浦发银行,2017-06,-0.014388489208632893,0.05081495685522497
14,浦发银行,2017-07,0.05656934306569328,0.11025886864812984
15,浦发银行,2017-08,-0.049222797927461204,0.05560882070949136
16,浦发银行,2017-09,0.012715712988192518,0.06903163950143765
17,浦发银行,2017-10,-0.019730941704035887,0.04793863854266478
18,浦发银行,2017-11,0.023787740164684434,0.07286673058485094
19,浦发银行,2017-12,-0.02502234137622872,0.04602109300095836
20,浦发银行,2018-01,0.045829514207149424,0.0939597315436238
21,浦发银行,2018-02,-0.05346187554776505,0.035474592521572035
22,浦发银行,2018-03,-0.06574074074074077,-0.032598274209012845
23,浦发银行,2018-04,-0.0029732408325073845,-0.0354745925215727
24,浦发银行,2018-05,-0.09145129224652082,-0.1236816874400769
25,浦发银行,2018-06,-0.0940919037199126,-0.2061361457334615
26,浦发银行,2018-07,0.07487922705314021,-0.14669223394055642
27,浦发银行,2018-08,0.015730337078651457,-0.13326941514861035
28,浦发银行,2018-09,0.028761061946902755,-0.1083413231064243
29,浦发银行,2018-10,0.033333333333333215,-0.07861936720997187
30,浦发银行,2018-11,-0.023933402705514917,-0.10067114093959773
31,浦发银行,2018-12,-0.08528784648187637,-0.1773729626078624
32,浦发银行,2019-01,0.09440559440559437,-0.09971236816874451
33,浦发银行,2019-02,0.09478168264110742,-0.014381591562800278
34,浦发银行,2019-03,-0.03891050583657574,-0.05273250239693239
35,浦发银行,2019-04,0.06072874493927127,0.004793863854266167
36,浦发银行,2019-05,-0.06965648854961837,-0.06519654841802536
37,浦发银行,2019-06,0.08102564102564092,0.010546500479385879
38,浦发银行,2019-07,0.01707779886148031,0.02780441035474568
39,浦发银行,2019-08,-0.05037313432835833,-0.023969319271333056
40,浦发银行,2019-09,0.05009823182711193,0.02492809204218549
41,浦发银行,2019-10,0.05612722170252571,0.08245445829338394
42,浦发银行,2019-11,-0.04782993799822843,0.030680728667305424
43,浦发银行,2019-12,0.039069767441860526,0.07094918504314429
44,浦发银行,2020-01,-0.08236347358997309,-0.01725790987535991
45,浦发银行,2020-02,-0.04390243902439017,-0.060402684563758635
46,浦发银行,2020-03,-0.0653061224489796,-0.12176414189837037
47,浦发银行,2020-04,0.048034934497816595,-0.07957813998082486
48,浦发银行,2020-05,-0.006250000000000089,-0.08533077660594479
49,浦发银行,2020-06,0.0010482180293502896,-0.08437200383509136
50,浦发银行,2020-07,0.03246073298429297,-0.054650047938639035
51,浦发银行,2020-08,0.0,-0.054650047938639035
52,浦发银行,2020-09,-0.09330628803245433,-0.14285714285714324
53,浦发银行,2020-10,-0.013422818791946178,-0.15436241610738277
54,浦发银行,2020-11,0.08616780045351469,-0.08149568552253139
55,浦发银行,2020-12,-0.03862212943632559,-0.11697027804410365
56,浦发银行,2021-01,0.02931596091205213,-0.09108341323106428
57,浦发银行,2021-02,0.05801687763713059,-0.03835091083413256
58,浦发银行,2021-03,0.04287138584247274,0.0028763183125597447
59,浦发银行,2021-04,-0.08508604206500958,-0.0824544582933846
0,浙江龙盛,2016-05,-0.04054054054054068,-0.04054054054054068
1,浙江龙盛,2016-06,0.006402048655569814,-0.03439803439803446
2,浙江龙盛,2016-07,0.1055979643765903,0.06756756756756754
3,浙江龙盛,2016-08,0.018411967779056404,0.08722358722358714
4,浙江龙盛,2016-09,-0.051977401129943424,0.03071253071253066
5,浙江龙盛,2016-10,-0.00715137067938032,0.023341523341523285
6,浙江龙盛,2016-11,0.038415366146458574,0.06265356265356248
7,浙江龙盛,2016-12,-0.028901734104046284,0.03194103194103182
8,浙江龙盛,2017-01,0.05476190476190457,0.08845208845208807
9,浙江龙盛,2017-02,-0.007900677200902928,0.07985257985257954
10,浙江龙盛,2017-03,-0.023890784982935065,0.054054054054053946
11,浙江龙盛,2017-04,0.011655011655011593,0.06633906633906617
12,浙江龙盛,2017-05,-0.019585253456221197,0.04545454545454519
13,浙江龙盛,2017-06,0.04347826086956541,0.09090909090909083
14,浙江龙盛,2017-07,0.13851351351351338,0.24201474201474182
15,浙江龙盛,2017-08,0.023738872403560762,0.2714987714987711
16,浙江龙盛,2017-09,-0.07632850241545885,0.17444717444717428
17,浙江龙盛,2017-10,0.0020920502092049986,0.1769041769041768
18,浙江龙盛,2017-11,0.061586638830897655,0.2493857493857492
19,浙江龙盛,2017-12,0.07276302851524097,0.34029484029484025
20,浙江龙盛,2018-01,0.0650779101741521,0.4275184275184274
21,浙江龙盛,2018-02,0.015490533562822817,0.44963144963144974
22,浙江龙盛,2018-03,-0.11864406779661019,0.2776412776412778
23,浙江龙盛,2018-04,-0.023076923076923106,0.24815724815724827
24,浙江龙盛,2018-05,0.1968503937007875,0.493857493857494
25,浙江龙盛,2018-06,-0.06661184210526316,0.3943488943488944
26,浙江龙盛,2018-07,-0.022026431718061623,0.36363636363636376
27,浙江龙盛,2018-08,-0.09999999999999998,0.22727272727272751
28,浙江龙盛,2018-09,-0.07207207207207211,0.138820638820639
29,浙江龙盛,2018-10,-0.08953613807982741,0.036855036855037104
